Jarea,JcomSize,JcomType,Jcompany,Jdb,Jeducation,Jexperience,JhireCount,JmaxSalary,JminSalary,Jname,JpayTimes,Jrequirements,Jsalary,Jtag,Jtype,Jwelfare
云南-大理,50-200,私营/民营企业,大理华星锦业汽车销售服务有限公司,,大专学历 ,不限经验,招聘1-5,0,0,初级销售顾问,,,,汽车/摩托车/零配件,,
云南-,10-50,私营/民营企业,云南利民经贸有限公司,,大专学历 ,不限经验,招聘1-5,4.5,3.0,销售后勤,,,,汽车/摩托车/零配件,,
云南-大理,500-1000,股份制企业,云南皇氏来思尔乳业有限公司,,大专学历 ,不限经验,招聘1-5,10.0,8.0,云南区销售业务经理,,,,快速消费品,,
云南-保山,50-200,私营/民营企业,实力文旅腾冲的小院子,,本科学历 ,不限经验,招聘1-5,6.0,4.5,职业顾问J10166,,,,建筑/房地产/物业/装潢,,
云南-玉溪,10-50,私营/民营企业,云南享趣科技有限公司,,不限学历 ,不限经验,,4.5,3.0,销售经理,,,,互联网/电子商务/游戏,,
云南-昆明,1000,股份制企业,昆明尊园房地产经纪有限公司天水嘉园分公司,,不限学历 ,不限经验,招聘5-10,10.0,8.0,房产店员+五险,,,,建筑/房地产/物业/装潢,,
云南-昆明,10-50,私营/民营企业,阳睿旅游咨询,,大专学历 ,不限经验,,15.0,10.0,电商运营飞猪/携程运营,,,,旅游/酒店,,
云南-,10-50,私营/民营企业,昆明昭盛房地产经纪有限公司,,高中学历 ,不限经验,,10.0,8.0,分销专员,,,,建筑/房地产/物业/装潢,,
浙江-丽水,1000,私营/民营企业,云南昆卫教育集团,,本科学历 ,不限经验,招聘1-5,6.0,4.5,网络管理员,,,,教育/培训/学术/科研,,
云南-昆明,50-200,私营/民营企业,昆明俊贤人力资源服务有限公司,,大专学历 ,不限经验,,4.5,3.0,招生专员,,,,建筑/房地产/物业/装潢,,
云南-曲靖,10-50,私营/民营企业,曲靖市百镒汽车服务有限公司,,中专学历 ,不限经验,,10.0,8.0,驻店质保专员,,,,汽车/摩托车/零配件,,
云南-大理,500-1000,股份制企业,云南皇氏来思尔乳业有限公司,,大专学历 ,不限经验,招聘1-5,4.5,3.0,信息员,,,,快速消费品,,
天津-天津,10-50,私营/民营企业,昆明宜阆焊割五金有限公司,,中专学历 ,不限经验,,4.5,3.0,网店编辑美工,,,,批发零售,,
云南-昆明,50-200,私营/民营企业,昆明市西山区昆润职业培训学校,,本科学历 ,不限经验,招聘1-5,6.0,4.5,政治教师,,,,教育/培训/学术/科研,,
云南-,1000,其他,云南高创人才服务有限公司,,大专学历 ,不限经验,招聘5-10,4.5,3.0,大堂引导 兼职,,,,人才交流/中介/人力资源,,
云南-昆明,50-200,私营/民营企业,云南纳芮龙经贸有限公司,,中专学历 ,不限经验,招聘1-5,6.0,4.5,综合维修工,,,,贸易/商务/进出口,,
云南-昭通,50-200,私营/民营企业,云南朔铭电力工程有限公司,,大专学历 ,不限经验,招聘1-5,4.5,3.0,市场拓展专员,,,,电力/水利/能源/矿产,,
广东-揭阳,10-50,私营/民营企业,昭通市煜耀商贸有限公司,,不限学历 ,不限经验,招聘1-5,0,0,区域销售,,,,建筑/房地产/物业/装潢,,
云南-昆明,10-50,私营/民营企业,睿叮儿童图书馆,,大专学历 ,不限经验,招聘1-5,4.5,3.0,前台接待,,,,教育/培训/学术/科研,,
云南-,10-50,私营/民营企业,云南龙辉工程有限公司,,大专学历 ,不限经验,招聘1-5,6.0,4.5,会计,,,,建筑/房地产/物业/装潢,,
云南-,200-500,私营/民营企业,中经国际招标集团有限公司云南分公司,,大专学历 ,不限经验,,3.0,2.0,招标员,,,,建筑/房地产/物业/装潢,,
云南-曲靖,50-200,私营/民营企业,深圳元融资产管理有限公司（云南分公司）,,本科学历 ,不限经验,招聘1-5,6.0,4.5,业务经理,,,,金融业/银行,,
云南-玉溪,50-200,股份制企业,玉溪爱尔眼科医院,,中专学历 ,不限经验,招聘1-5,4.5,3.0,手术室护士,,,,医疗/保健/美容/卫生,,
云南-文山,10-50,私营/民营企业,丘北尚美优家家具销售有限公司,,不限学历 ,不限经验,,4.5,3.0,销售业务员,,,,家居/家具/室内设计,,
云南-,50-200,私营/民营企业,云南菲鲨经济信息咨询有限公司,,本科学历 ,不限经验,招聘1-5,15.0,10.0,招标业务部门负责人,,,,其他行业,,
云南-昆明,50-200,私营/民营企业,昆明市西山区昆润职业培训学校,,本科学历 ,不限经验,招聘1-5,6.0,4.5,数学教师,,,,教育/培训/学术/科研,,
